temperature,pressure,gas,delta,days_to_ripe
34.29,808.3,1662,30,1
34.29,808.3,1663,31,1
34.29,808.3,1661,29,3
34.29,808.29,1659,27,3
34.29,808.29,1658,26,3
34.29,808.29,1657,25,3
34.29,808.29,1657,25,3
34.28,808.29,1664,32,1
34.28,808.29,1656,24,3
34.28,808.28,1659,27,3
34.28,808.28,1655,23,3
34.28,808.28,1653,21,3
34.28,808.29,1652,20,3
34.28,808.28,1653,21,3
34.27,808.28,1654,22,3
34.27,808.29,1655,23,3
34.27,808.29,1654,22,3
34.27,808.29,1657,25,3
34.27,808.29,1662,30,1
34.27,808.29,1660,28,3
34.28,808.29,1661,29,3
34.28,808.29,1662,30,1
34.28,808.29,1660,28,3
34.28,808.29,1661,29,3
34.28,808.29,1660,28,3
34.28,808.29,1662,30,1
34.28,808.29,1660,28,3
34.29,808.3,1660,28,3
34.29,808.3,1658,26,3
34.29,808.3,1658,26,3
34.29,808.3,1656,24,3
34.29,808.3,1654,22,3
34.29,808.3,1659,27,3
34.29,808.3,1653,21,3
34.29,808.29,1654,22,3
34.28,808.29,1657,25,3
34.28,808.29,1660,28,3
34.28,808.29,1653,21,3
34.28,808.29,1657,25,3
34.28,808.29,1656,24,3
34.28,808.29,1660,28,3
34.28,808.29,1660,28,3
34.28,808.28,1662,30,1
34.28,808.28,1659,27,3
34.28,808.28,1662,30,1
34.28,808.28,1662,30,1
34.28,808.28,1659,27,3
34.27,808.28,1662,30,1
34.27,808.28,1663,31,1
34.27,808.27,1664,32,1
34.27,808.27,1664,32,1
34.27,808.27,1661,29,3
34.26,808.27,1664,32,1
34.26,808.26,1663,31,1
34.26,808.26,1662,30,1
34.26,808.27,1658,26,3
34.26,808.26,1657,25,3
34.25,808.26,1657,25,3
34.25,808.26,1659,27,3
34.25,808.26,1656,24,3
34.25,808.26,1659,27,3
34.24,808.25,1656,24,3
34.24,808.25,1658,26,3
34.24,808.25,1653,21,3
34.24,808.25,1661,29,3
35.3,809.39,1826,194,1
35.3,809.39,1828,196,1
35.3,809.39,1826,194,1
35.3,809.39,1823,191,1
35.3,809.39,1825,193,1
35.3,809.39,1823,191,1
35.3,809.39,1824,192,1
35.3,809.39,1822,190,1
35.3,809.39,1822,190,1
35.3,809.39,1818,186,1
35.3,809.39,1820,188,1
35.3,809.39,1821,189,1
35.3,809.39,1817,185,1
35.3,809.39,1812,180,1
35.29,809.38,1812,180,1
35.29,809.38,1815,183,1
35.29,809.38,1812,180,1
35.28,809.37,1815,183,1
35.28,809.37,1811,179,1
35.27,809.36,1813,181,1
35.27,809.36,1814,182,1
35.27,809.36,1809,177,1
35.27,809.36,1810,178,1
35.27,809.36,1810,178,1
35.26,809.35,1810,178,1
35.26,809.35,1812,180,1
35.26,809.35,1809,177,1
35.25,809.34,1808,176,1
35.25,809.33,1810,178,1
35.24,809.33,1806,174,1
35.23,809.32,1808,176,1
35.23,809.31,1806,174,1
35.22,809.3,1806,174,1
35.21,809.29,1809,177,1
35.2,809.28,1809,177,1
35.19,809.27,1808,176,1
